microsecond	duration	track	channel	instrument	pitch	velocity	bar	beat	bar_diff	beat_diff
47358656	529147	0x01	0x01	0x01	0x4B	0x4E	22.3750	0.2500	89.5000	1.0000
48152377	132286	0x01	0x01	0x01	0x44	0x45	22.7500	0.0625	91.0000	0.2500
48284663	132287	0x01	0x01	0x01	0x46	0x49	22.8125	0.0625	91.2500	0.2500
48416950	132287	0x01	0x01	0x01	0x49	0x4F	22.8750	0.0625	91.5000	0.2500
48549237	132287	0x01	0x01	0x01	0x46	0x48	22.9375	0.0625	91.7500	0.2500
48681524	396860	0x01	0x01	0x01	0x4D	0x57	23.0000	0.1875	92.0000	0.7500
49078384	396860	0x01	0x01	0x01	0x4D	0x55	23.1875	0.1875	92.7500	0.7500
49475244	396860	0x01	0x01	0x01	0x4B	0x4F	23.3750	0.1875	93.5000	0.7500
50268965	132286	0x01	0x01	0x01	0x44	0x45	23.7500	0.0625	95.0000	0.2500
50401251	132287	0x01	0x01	0x01	0x46	0x49	23.8125	0.0625	95.2500	0.2500
50533538	132287	0x01	0x01	0x01	0x49	0x4F	23.8750	0.0625	95.5000	0.2500
50665825	132287	0x01	0x01	0x01	0x46	0x48	23.9375	0.0625	95.7500	0.2500
50798112	396860	0x01	0x01	0x01	0x4B	0x55	24.0000	0.1875	96.0000	0.7500
51194972	396860	0x01	0x01	0x01	0x4B	0x53	24.1875	0.1875	96.7500	0.7500
51591832	396860	0x01	0x01	0x01	0x49	0x4D	24.3750	0.1875	97.5000	0.7500
51988692	132287	0x01	0x01	0x01	0x48	0x4B	24.5625	0.0625	98.2500	0.2500
52120979	132287	0x01	0x01	0x01	0x46	0x47	24.6250	0.0625	98.5000	0.2500
52385553	132286	0x01	0x01	0x01	0x44	0x44	24.7500	0.0625	99.0000	0.2500
52517839	132287	0x01	0x01	0x01	0x46	0x4A	24.8125	0.0625	99.2500	0.2500
52650126	132287	0x01	0x01	0x01	0x49	0x52	24.8750	0.0625	99.5000	0.2500
52782413	132287	0x01	0x01	0x01	0x46	0x49	24.9375	0.0625	99.7500	0.2500
52914700	529147	0x01	0x01	0x01	0x49	0x53	25.0000	0.2500	100.0000	1.0000
53443847	132286	0x01	0x01	0x01	0x4B	0x54	25.2500	0.0625	101.0000	0.2500
53708420	66143	0x01	0x01	0x01	0x47	0x4A	25.3750	0.0313	101.5000	0.1250
53774563	198431	0x01	0x01	0x01	0x48	0x4C	25.4063	0.0938	101.6250	0.3750
53972994	264573	0x01	0x01	0x01	0x46	0x48	25.5000	0.1250	102.0000	0.5000
54237567	264574	0x01	0x01	0x01	0x44	0x44	25.6250	0.1250	102.5000	0.5000
54766714	132287	0x01	0x01	0x01	0x44	0x48	25.8750	0.0625	103.5000	0.2500
55031288	529147	0x01	0x01	0x01	0x4B	0x54	26.0000	0.2500	104.0000	1.0000
55560435	529147	0x01	0x01	0x01	0x49	0x4F	26.2500	0.2500	105.0000	1.0000
56618729	132286	0x01	0x01	0x01	0x44	0x4A	26.7500	0.0625	107.0000	0.2500
56751015	132287	0x01	0x01	0x01	0x46	0x4C	26.8125	0.0625	107.2500	0.2500
56883302	132287	0x01	0x01	0x01	0x49	0x51	26.8750	0.0625	107.5000	0.2500
57015589	132287	0x01	0x01	0x01	0x46	0x4B	26.9375	0.0625	107.7500	0.2500
57147876	396860	0x01	0x01	0x01	0x4D	0x57	27.0000	0.1875	108.0000	0.7500
57544736	396860	0x01	0x01	0x01	0x4D	0x55	27.1875	0.1875	108.7500	0.7500
57941596	396860	0x01	0x01	0x01	0x4B	0x4F	27.3750	0.1875	109.5000	0.7500
58735317	132286	0x01	0x01	0x01	0x44	0x45	27.7500	0.0625	111.0000	0.2500
58867603	132287	0x01	0x01	0x01	0x46	0x49	27.8125	0.0625	111.2500	0.2500
58999890	132287	0x01	0x01	0x01	0x49	0x4F	27.8750	0.0625	111.5000	0.2500
59132177	132287	0x01	0x01	0x01	0x46	0x48	27.9375	0.0625	111.7500	0.2500
59264464	529147	0x01	0x01	0x01	0x50	0x58	28.0000	0.2500	112.0000	1.0000
59793611	264573	0x01	0x01	0x01	0x48	0x4C	28.2500	0.1250	113.0000	0.5000
60058184	396860	0x01	0x01	0x01	0x49	0x4E	28.3750	0.1875	113.5000	0.7500
60455044	132287	0x01	0x01	0x01	0x48	0x4B	28.5625	0.0625	114.2500	0.2500
60587331	132287	0x01	0x01	0x01	0x46	0x47	28.6250	0.0625	114.5000	0.2500
60851905	132286	0x01	0x01	0x01	0x44	0x44	28.7500	0.0625	115.0000	0.2500
60984191	132287	0x01	0x01	0x01	0x46	0x4A	28.8125	0.0625	115.2500	0.2500
61116478	132287	0x01	0x01	0x01	0x49	0x52	28.8750	0.0625	115.5000	0.2500
61248765	132287	0x01	0x01	0x01	0x46	0x49	28.9375	0.0625	115.7500	0.2500
61381052	529147	0x01	0x01	0x01	0x49	0x53	29.0000	0.2500	116.0000	1.0000
61910199	132286	0x01	0x01	0x01	0x4B	0x54	29.2500	0.0625	117.0000	0.2500
62174772	66143	0x01	0x01	0x01	0x47	0x4A	29.3750	0.0313	117.5000	0.1250
62240915	198431	0x01	0x01	0x01	0x48	0x4C	29.4063	0.0938	117.6250	0.3750
62439346	264573	0x01	0x01	0x01	0x46	0x48	29.5000	0.1250	118.0000	0.5000
62703919	264574	0x01	0x01	0x01	0x44	0x44	29.6250	0.1250	118.5000	0.5000
63233066	132287	0x01	0x01	0x01	0x44	0x48	29.8750	0.0625	119.5000	0.2500
63497640	529147	0x01	0x01	0x01	0x4B	0x54	30.0000	0.2500	120.0000	1.0000
64026787	529147	0x01	0x01	0x01	0x49	0x4F	30.2500	0.2500	121.0000	1.0000
65878801	264574	0x01	0x01	0x01	0x49	0x4C	31.1250	0.1250	124.5000	0.5000
66143375	264573	0x01	0x01	0x01	0x49	0x4C	31.2500	0.1250	125.0000	0.5000
66407948	264574	0x01	0x01	0x01	0x46	0x49	31.3750	0.1250	125.5000	0.5000
66672522	264573	0x01	0x01	0x01	0x49	0x4E	31.5000	0.1250	126.0000	0.5000
66937095	264574	0x01	0x01	0x01	0x4B	0x51	31.6250	0.1250	126.5000	0.5000
67995389	264574	0x01	0x01	0x01	0x48	0x4B	32.1250	0.1250	128.5000	0.5000
68259963	264573	0x01	0x01	0x01	0x46	0x49	32.2500	0.1250	129.0000	0.5000
68524536	132287	0x01	0x01	0x01	0x48	0x4D	32.3750	0.0625	129.5000	0.2500
68656823	132287	0x01	0x01	0x01	0x46	0x49	32.4375	0.0625	129.7500	0.2500
68789110	1058294	0x01	0x01	0x01	0x44	0x45	32.5000	0.5000	130.0000	2.0000
70111977	264574	0x01	0x01	0x01	0x46	0x4C	33.1250	0.1250	132.5000	0.5000
70376551	264573	0x01	0x01	0x01	0x46	0x4C	33.2500	0.1250	133.0000	0.5000
70641124	264574	0x01	0x01	0x01	0x48	0x4F	33.3750	0.1250	133.5000	0.5000
70905698	264573	0x01	0x01	0x01	0x49	0x50	33.5000	0.1250	134.0000	0.5000
71170271	264574	0x01	0x01	0x01	0x46	0x4A	33.6250	0.1250	134.5000	0.5000
71434845	264573	0x01	0x01	0x01	0x44	0x46	33.7500	0.1250	135.0000	0.5000
72228565	264574	0x01	0x01	0x01	0x50	0x56	34.1250	0.1250	136.5000	0.5000
72493139	264573	0x01	0x01	0x01	0x50	0x54	34.2500	0.1250	137.0000	0.5000
72757712	264574	0x01	0x01	0x01	0x4B	0x4A	34.3750	0.1250	137.5000	0.5000
73286859	264574	0x01	0x01	0x01	0x4D	0x4D	34.6250	0.1250	138.5000	0.5000
73551433	264573	0x01	0x01	0x01	0x4B	0x49	34.7500	0.1250	139.0000	0.5000
73816006	264574	0x01	0x01	0x01	0x49	0x46	34.8750	0.1250	139.5000	0.5000
74345153	264574	0x01	0x01	0x01	0x49	0x49	35.1250	0.1250	140.5000	0.5000
74609727	264573	0x01	0x01	0x01	0x49	0x4A	35.2500	0.1250	141.0000	0.5000
74874300	264574	0x01	0x01	0x01	0x46	0x45	35.3750	0.1250	141.5000	0.5000
75138874	264573	0x01	0x01	0x01	0x49	0x4D	35.5000	0.1250	142.0000	0.5000
75403447	264574	0x01	0x01	0x01	0x46	0x47	35.6250	0.1250	142.5000	0.5000
75668021	264573	0x01	0x01	0x01	0x49	0x4F	35.7500	0.1250	143.0000	0.5000
75932594	264574	0x01	0x01	0x01	0x4B	0x53	35.8750	0.1250	143.5000	0.5000
76461741	264574	0x01	0x01	0x01	0x48	0x4B	36.1250	0.1250	144.5000	0.5000
76726315	264573	0x01	0x01	0x01	0x46	0x48	36.2500	0.1250	145.0000	0.5000
76990888	132287	0x01	0x01	0x01	0x48	0x4D	36.3750	0.0625	145.5000	0.2500
77123175	132287	0x01	0x01	0x01	0x46	0x48	36.4375	0.0625	145.7500	0.2500
77255462	793720	0x01	0x01	0x01	0x44	0x44	36.5000	0.3750	146.0000	1.5000
78578329	264574	0x01	0x01	0x01	0x46	0x4C	37.1250	0.1250	148.5000	0.5000
78842903	264573	0x01	0x01	0x01	0x46	0x4C	37.2500	0.1250	149.0000	0.5000
79107476	264574	0x01	0x01	0x01	0x48	0x4F	37.3750	0.1250	149.5000	0.5000
79372050	264573	0x01	0x01	0x01	0x49	0x50	37.5000	0.1250	150.0000	0.5000
79636623	264574	0x01	0x01	0x01	0x46	0x4A	37.6250	0.1250	150.5000	0.5000
79901197	264573	0x01	0x01	0x01	0x44	0x46	37.7500	0.1250	151.0000	0.5000
80694917	264574	0x01	0x01	0x01	0x4B	0x52	38.1250	0.1250	152.5000	0.5000
80959491	264573	0x01	0x01	0x01	0x4D	0x53	38.2500	0.1250	153.0000	0.5000
81224064	529147	0x01	0x01	0x01	0x4D	0x51	38.3750	0.2500	153.5000	1.0000
81753211	529147	0x01	0x01	0x01	0x4B	0x4C	38.6250	0.2500	154.5000	1.0000
82546932	1322867	0x01	0x01	0x01	0x49	0x4A	39.0000	0.6250	156.0000	2.5000
83869799	264574	0x01	0x01	0x01	0x4B	0x4D	39.6250	0.1250	158.5000	0.5000
84134373	264573	0x01	0x01	0x01	0x4D	0x4E	39.7500	0.1250	159.0000	0.5000
84398946	529147	0x01	0x01	0x01	0x4B	0x4B	39.8750	0.2500	159.5000	1.0000
84928093	264574	0x01	0x01	0x01	0x4B	0x4C	40.1250	0.1250	160.5000	0.5000
85192667	264573	0x01	0x01	0x01	0x4B	0x4C	40.2500	0.1250	161.0000	0.5000
85457240	264574	0x01	0x01	0x01	0x4D	0x4F	40.3750	0.1250	161.5000	0.5000
85721814	264573	0x01	0x01	0x01	0x4B	0x4B	40.5000	0.1250	162.0000	0.5000
85986387	264574	0x01	0x01	0x01	0x44	0x41	40.6250	0.1250	162.5000	0.5000
86250961	264573	0x01	0x01	0x01	0x44	0x43	40.7500	0.1250	163.0000	0.5000
87573828	264574	0x01	0x01	0x01	0x44	0x4B	41.3750	0.1250	165.5000	0.5000
87838402	264573	0x01	0x01	0x01	0x46	0x4D	41.5000	0.1250	166.0000	0.5000
88102975	264574	0x01	0x01	0x01	0x48	0x50	41.6250	0.1250	166.5000	0.5000
88367549	264573	0x01	0x01	0x01	0x49	0x50	41.7500	0.1250	167.0000	0.5000
88632122	264574	0x01	0x01	0x01	0x46	0x4A	41.8750	0.1250	167.5000	0.5000
89161269	264574	0x01	0x01	0x01	0x4B	0x52	42.1250	0.1250	168.5000	0.5000
89425843	264573	0x01	0x01	0x01	0x4D	0x54	42.2500	0.1250	169.0000	0.5000
89690416	264574	0x01	0x01	0x01	0x4B	0x4E	42.3750	0.1250	169.5000	0.5000
90484137	132286	0x01	0x01	0x01	0x44	0x45	42.7500	0.0625	171.0000	0.2500
90616423	132287	0x01	0x01	0x01	0x46	0x49	42.8125	0.0625	171.2500	0.2500
90748710	132287	0x01	0x01	0x01	0x49	0x4F	42.8750	0.0625	171.5000	0.2500
90880997	132287	0x01	0x01	0x01	0x46	0x48	42.9375	0.0625	171.7500	0.2500
91013284	396860	0x01	0x01	0x01	0x4D	0x57	43.0000	0.1875	172.0000	0.7500
91410144	396860	0x01	0x01	0x01	0x4D	0x55	43.1875	0.1875	172.7500	0.7500
91807004	396860	0x01	0x01	0x01	0x4B	0x4F	43.3750	0.1875	173.5000	0.7500
92600725	132286	0x01	0x01	0x01	0x44	0x45	43.7500	0.0625	175.0000	0.2500
92733011	132287	0x01	0x01	0x01	0x46	0x49	43.8125	0.0625	175.2500	0.2500
92865298	132287	0x01	0x01	0x01	0x49	0x4F	43.8750	0.0625	175.5000	0.2500
92997585	132287	0x01	0x01	0x01	0x46	0x48	43.9375	0.0625	175.7500	0.2500
93129872	396860	0x01	0x01	0x01	0x4B	0x55	44.0000	0.1875	176.0000	0.7500
93526732	396860	0x01	0x01	0x01	0x4B	0x53	44.1875	0.1875	176.7500	0.7500
93923592	396860	0x01	0x01	0x01	0x49	0x4D	44.3750	0.1875	177.5000	0.7500
94320452	132287	0x01	0x01	0x01	0x48	0x4B	44.5625	0.0625	178.2500	0.2500
94452739	132287	0x01	0x01	0x01	0x46	0x47	44.6250	0.0625	178.5000	0.2500
94717313	132286	0x01	0x01	0x01	0x44	0x44	44.7500	0.0625	179.0000	0.2500
94849599	132287	0x01	0x01	0x01	0x46	0x4A	44.8125	0.0625	179.2500	0.2500
94981886	132287	0x01	0x01	0x01	0x49	0x52	44.8750	0.0625	179.5000	0.2500
95114173	132287	0x01	0x01	0x01	0x46	0x49	44.9375	0.0625	179.7500	0.2500
95246460	529147	0x01	0x01	0x01	0x49	0x53	45.0000	0.2500	180.0000	1.0000
95775607	132286	0x01	0x01	0x01	0x4B	0x54	45.2500	0.0625	181.0000	0.2500
96040180	66143	0x01	0x01	0x01	0x47	0x4A	45.3750	0.0313	181.5000	0.1250
96106323	198431	0x01	0x01	0x01	0x48	0x4C	45.4063	0.0938	181.6250	0.3750
96304754	264573	0x01	0x01	0x01	0x46	0x48	45.5000	0.1250	182.0000	0.5000
96569327	264574	0x01	0x01	0x01	0x44	0x44	45.6250	0.1250	182.5000	0.5000
97098474	132287	0x01	0x01	0x01	0x44	0x48	45.8750	0.0625	183.5000	0.2500
